,Count,T_avg,V_avg,W_avg,rain,fog,snow,Thunderstorms,Quarter,Month,Day,Year
158,75,14,10,16,1,0,0,0,3,9,22,2015
159,51,13,12,11,1,0,0,0,3,9,23,2015
160,37,13,12,6,1,0,0,0,3,9,24,2015
161,87,14,7,3,0,1,0,0,3,9,25,2015
162,14,13,14,10,0,0,0,0,3,9,26,2015
163,19,14,20,16,0,0,0,0,3,9,27,2015
164,22,13,23,16,0,0,0,0,3,9,28,2015
165,58,13,23,16,0,0,0,0,3,9,29,2015
166,33,13,23,18,0,0,0,0,3,9,30,2015
167,20,12,26,16,0,0,0,0,4,10,1,2015
168,52,12,22,10,0,0,0,0,4,10,2,2015
169,13,14,15,3,0,0,0,0,4,10,3,2015
170,9,11,9,5,0,0,0,0,4,10,4,2015
171,30,14,12,11,1,0,0,0,4,10,5,2015
172,37,18,9,11,1,0,0,1,4,10,6,2015
173,22,14,11,21,0,0,0,0,4,10,7,2015
174,42,12,12,8,0,0,0,0,4,10,8,2015
175,12,11,13,5,0,0,0,0,4,10,9,2015
176,4,12,8,11,0,0,0,0,4,10,10,2015
177,1,12,8,11,0,0,0,0,4,10,11,2015
178,53,11,8,8,0,0,0,0,4,10,12,2015
179,19,8,9,8,0,0,0,0,4,10,13,2015
180,72,6,9,13,1,0,0,0,4,10,14,2015
181,27,6,10,14,1,0,0,0,4,10,15,2015
182,24,6,5,6,1,0,0,0,4,10,16,2015
183,2,10,8,5,1,0,0,0,4,10,17,2015
184,28,8,6,3,0,1,0,0,4,10,19,2015
185,8,11,7,5,1,0,0,0,4,10,20,2015
186,13,8,9,6,1,1,0,0,4,10,21,2015
187,44,12,9,10,1,0,0,0,4,10,22,2015
188,7,12,11,6,0,0,0,0,4,10,23,2015
189,6,11,13,8,0,0,0,0,4,10,24,2015
190,5,10,10,10,0,1,0,0,4,10,25,2015
191,9,12,7,6,0,1,0,0,4,10,26,2015
192,6,14,11,10,1,0,0,0,4,10,27,2015
193,25,12,10,8,1,0,0,0,4,10,28,2015
194,13,12,14,10,0,0,0,0,4,10,29,2015
195,18,12,14,8,0,0,0,0,4,10,30,2015
196,1,12,8,8,0,0,0,0,4,10,31,2015
197,3,12,7,6,0,1,0,0,4,11,1,2015
198,12,7,3,8,0,1,0,0,4,11,2,2015
199,18,11,12,10,1,0,0,0,4,11,3,2015
200,34,13,11,13,1,0,0,0,4,11,4,2015
201,40,16,11,10,1,0,0,0,4,11,5,2015
202,33,17,10,16,1,0,0,0,4,11,6,2015
203,1,18,11,13,0,0,0,0,4,11,7,2015
204,2,15,12,16,0,0,0,0,4,11,9,2015
205,20,12,12,13,0,0,0,0,4,11,10,2015
206,6,11,8,5,1,1,0,0,4,11,11,2015
207,16,12,7,6,1,1,0,0,4,11,12,2015
208,36,12,12,14,0,0,0,0,4,11,13,2015
209,4,9,10,14,0,0,0,0,4,11,14,2015
210,5,14,12,23,0,0,0,0,4,11,15,2015
211,47,13,11,18,1,0,0,0,4,11,16,2015
212,26,16,10,26,1,0,0,0,4,11,17,2015
213,4,14,12,21,0,0,0,0,4,11,18,2015
214,52,14,10,23,1,0,0,0,4,11,19,2015
215,35,8,10,16,1,0,0,0,4,11,20,2015
216,3,3,16,11,0,0,0,0,4,11,22,2015
217,25,2,10,5,0,0,0,0,4,11,23,2015
218,21,4,11,11,1,0,0,0,4,11,24,2015
219,18,8,12,13,1,0,0,0,4,11,25,2015
220,26,6,12,6,0,1,0,0,4,11,26,2015
221,18,2,5,8,1,1,0,0,4,11,27,2015
222,5,7,11,16,1,0,0,0,4,11,28,2015
223,17,10,11,27,1,0,0,0,4,11,29,2015
224,58,12,10,29,0,0,0,0,4,11,30,2015
225,37,12,10,23,0,0,0,0,4,12,1,2015
226,9,11,11,10,0,0,0,0,4,12,2,2015
227,33,9,15,11,0,0,0,0,4,12,3,2015
228,11,8,13,14,1,0,0,0,4,12,4,2015
229,11,6,14,10,0,0,0,0,4,12,5,2015
230,24,11,16,8,0,0,0,0,4,12,7,2015
231,16,8,13,10,1,0,0,0,4,12,8,2015
232,22,8,12,8,0,0,0,0,4,12,9,2015
233,8,3,10,13,0,0,0,0,4,12,10,2015
234,17,6,13,13,0,0,0,0,4,12,11,2015
