username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Ligne12_RATP;2014-09-16 12:29;0;0;"Inscrivez-vous! La deuxième vague d'inscription des #JEP2014 est ouverte ! pic.twitter.com/Th4dZtmiJU";;;#JEP2014;"511824066802892800";https://twitter.com/Ligne12_RATP/status/511824066802892800
Ligne12_RATP;2014-09-16 06:03;1;0;"Bonne matinée et bon trajet aux voyageurs de la #ligne12 , Thierry vous informe sur l'état du trafic #RATP .";;;#ligne12 #RATP;"511726980874895360";https://twitter.com/Ligne12_RATP/status/511726980874895360
Ligne12_RATP;2014-09-15 13:01;0;0;"Bonne journée et bon trajet aux voyageurs de la #Ligne12 , Paco vous informe de l'état du trafic #RATP .";;;#Ligne12 #RATP;"511469918794317824";https://twitter.com/Ligne12_RATP/status/511469918794317824
Ligne12_RATP;2014-09-15 06:21;1;0;"Ce matin, Thierry vous tient informés de l'état du trafic du #Ligne12 Bon trajet et bonne journée #RATP .";;;#Ligne12 #RATP;"511369201127555072";https://twitter.com/Ligne12_RATP/status/511369201127555072
Ligne12_RATP;2014-09-14 12:58;0;0;"Bonne journée et bon trajet aux voyageurs de la #Ligne12 , Paco vous informe de l'état du trafic #RATP .";;;#Ligne12 #RATP;"511106780739690496";https://twitter.com/Ligne12_RATP/status/511106780739690496
Ligne12_RATP;2014-09-14 07:41;0;0;"Retour à un trafic régulier sur l'ensemble de la #Ligne12 #RATP . Incident terminé.";;;#Ligne12 #RATP;"511027057783218176";https://twitter.com/Ligne12_RATP/status/511027057783218176
Ligne12_RATP;2014-09-14 07:15;1;0;"07:14, le trafic est ralenti de Front Populaire vers Mairie d'Issy (malaise voyageur) #RATP #Ligne12";;;#RATP #Ligne12;"511020515109380097";https://twitter.com/Ligne12_RATP/status/511020515109380097
Ligne12_RATP;2014-09-14 07:10;1;0;"07:08, la rame stationne à Pigalle en dir. de Mairie d'Issy (malaise voyageur) #RATP #Ligne12";;;#RATP #Ligne12;"511019006204346368";https://twitter.com/Ligne12_RATP/status/511019006204346368
Ligne12_RATP;2014-09-14 06:08;0;0;"Aujourd’hui, Pascal est avec vous jusqu’à 13h et vous informe sur l'état du trafic sur la #ligne12 Bon dimanche #RATP .";;;#ligne12 #RATP;"511003596054593536";https://twitter.com/Ligne12_RATP/status/511003596054593536
Ligne12_RATP;2014-09-13 13:09;1;0;"Bonne journée et bon trajet aux voyageurs de la #Ligne12 , Paco vous informe de l'état du trafic #RATP .";;;#Ligne12 #RATP;"510747189216546816";https://twitter.com/Ligne12_RATP/status/510747189216546816
Ligne12_RATP;2014-09-13 06:07;0;0;"Bon week-end et bon trajet aux voyageurs de la #ligne12 , Pascal vous informe sur l'état du trafic #RATP .";;;#ligne12 #RATP;"510640778025369600";https://twitter.com/Ligne12_RATP/status/510640778025369600
Ligne12_RATP;2014-09-12 13:24;0;0;"Que s'est-il passé hier sur la #ligne12 ? Retour sur l'interruption partielle du trafic du jeudi 12/09 http:// scope.ratp.fr/interruption-p artielle-du-trafic-sur-la-ligne-12-le-jeudi-11-septembre-2014/ … #ratpscope";;;#ligne12 #ratpscope;"510388497065472000";https://twitter.com/Ligne12_RATP/status/510388497065472000
Ligne12_RATP;2014-09-12 13:12;0;0;"Bonjour, Cyril vous tient informés sur l'état du trafic sur la #ligne12 . Bon trajet. #RATP .";;;#ligne12 #RATP;"510385413266366465";https://twitter.com/Ligne12_RATP/status/510385413266366465
Ligne12_RATP;2014-09-12 13:07;0;0;"Découvrez vite le teaser de l’ #EnquêteduM avec Philippe Manœuvre http://www. ratp.fr/fr/ratp/r_1134 26/sur-les-traces-dun-mysterieux-musicien/ …";;;#Enqu;"510384087480012800";https://twitter.com/Ligne12_RATP/status/510384087480012800
Ligne12_RATP;2014-09-12 06:06;0;0;"Bonne matinée et bon trajet aux voyageurs de la #ligne12 , Denis vous informe sur l'état du trafic #RATP .";;;#ligne12 #RATP;"510278175859802112";https://twitter.com/Ligne12_RATP/status/510278175859802112
Ligne12_RATP;2014-09-11 13:12;1;0;"Le trafic est à nouveau normal sur l'ensemble de la #Ligne12 #RATP";;;#Ligne12 #RATP;"510023049102782464";https://twitter.com/Ligne12_RATP/status/510023049102782464
Ligne12_RATP;2014-09-11 13:10;0;0;"Bonjour, Cyril vous tient informés sur l'état du trafic sur la #ligne12 . Bon trajet. #RATP .";;;#ligne12 #RATP;"510022561397481473";https://twitter.com/Ligne12_RATP/status/510022561397481473
Ligne12_RATP;2014-09-11 12:47;0;0;"12:46, le trafic est ralenti sur la ligne (panne de matériel) #RATP #Ligne12";;;#RATP #Ligne12;"510016901888872448";https://twitter.com/Ligne12_RATP/status/510016901888872448
Ligne12_RATP;2014-09-11 11:13;0;0;"11:12, le trafic est ralenti sur la ligne. Retour à la normale à 10:30. (panne de matériel) #RATP #Ligne12";;;#RATP #Ligne12;"509993246802862080";https://twitter.com/Ligne12_RATP/status/509993246802862080
Ligne12_RATP;2014-09-11 10:30;0;0;"10:28, le trafic est interrompu entre Mairie d'Issy et Pte de Versailles (panne de matériel) #RATP #Ligne12";;;#RATP #Ligne12;"509982425553076224";https://twitter.com/Ligne12_RATP/status/509982425553076224
Ligne12_RATP;2014-09-11 10:00;0;0;"09:58, le trafic est interrompu entre Pte de Versailles et Montparnasse. Retour à la normale à 10:30. (panne de matériel) #RATP #Ligne12";;;#RATP #Ligne12;"509974875386425344";https://twitter.com/Ligne12_RATP/status/509974875386425344
Ligne12_RATP;2014-09-11 09:53;1;0;"09:51, le trafic est interrompu entre Montparnasse et Mairie d'Issy. Retour à la normale à 10:30. (panne de matériel) #RATP #Ligne12";;;#RATP #Ligne12;"509973114122690560";https://twitter.com/Ligne12_RATP/status/509973114122690560
Ligne12_RATP;2014-09-11 09:38;4;0;"09:35, le trafic est interrompu entre Montparnasse et Mairie d'Issy. Retour à la normale à 10:00. (panne de matériel) #RATP #Ligne12";;;#RATP #Ligne12;"509969339010023424";https://twitter.com/Ligne12_RATP/status/509969339010023424
Ligne12_RATP;2014-09-11 09:35;1;0;"09:34, la rame stationne à Falguiere en dir. de Mairie d'Issy (panne de matériel) #RATP #Ligne12";;;#RATP #Ligne12;"509968584433745920";https://twitter.com/Ligne12_RATP/status/509968584433745920
Ligne12_RATP;2014-09-11 06:02;0;0;"Bonne matinée et bon trajet aux voyageurs de la #ligne12 , Pascal vous informe sur l'état du trafic #RATP .";;;#ligne12 #RATP;"509914922013442048";https://twitter.com/Ligne12_RATP/status/509914922013442048
Ligne12_RATP;2014-09-10 16:47;0;0;"Rendez-vous sur maRATP pour participez au grand #jeu #concours "Festival des Infos". Plus d'infos sur http://www. ratp.fr/fr/ratp/r_9675 7/festival-des-infos-services/ … #RATP";;;#jeu #concours #RATP;"509714806329593856";https://twitter.com/Ligne12_RATP/status/509714806329593856
Ligne12_RATP;2014-09-10 13:13;0;0;"Bonjour, Cyril vous tient informés sur l'état du trafic sur la #ligne12 . Bon trajet. #RATP .";;;#ligne12 #RATP;"509660987029725184";https://twitter.com/Ligne12_RATP/status/509660987029725184
Ligne12_RATP;2014-09-10 06:15;0;0;"Bonne matinée et bon trajet aux voyageurs de la #ligne12 , Denis vous informe sur l'état du trafic #RATP .";;;#ligne12 #RATP;"509555716395655168";https://twitter.com/Ligne12_RATP/status/509555716395655168
Ligne12_RATP;2014-09-09 20:00;0;0;"Retour à un trafic régulier sur l'ensemble de la #Ligne12 #RATP . Incident terminé.";;;#Ligne12 #RATP;"509401094058164224";https://twitter.com/Ligne12_RATP/status/509401094058164224
Ligne12_RATP;2014-09-09 19:37;0;0;"19:33, le trafic est ralenti sur la ligne (incident voyageur) #RATP #Ligne12";;;#RATP #Ligne12;"509395306476474368";https://twitter.com/Ligne12_RATP/status/509395306476474368
Ligne12_RATP;2014-09-09 19:34;0;0;"19:33, la rame est reparti de N.-D. de Lorette en dir. de Mairie d'Issy (incident voyageur) #RATP #Ligne12";;;#RATP #Ligne12;"509394383901184002";https://twitter.com/Ligne12_RATP/status/509394383901184002
Ligne12_RATP;2014-09-09 19:29;1;0;"19:26, la rame stationne à N.-D. de Lorette en dir. de Mairie d'Issy (incident voyageur) #RATP #Ligne12";;;#RATP #Ligne12;"509393293718089729";https://twitter.com/Ligne12_RATP/status/509393293718089729
Ligne12_RATP;2014-09-09 13:17;0;0;"Bonjour, Cyril vous tient informés sur l'état du trafic sur la #ligne12 . Bon trajet. #RATP .";;;#ligne12 #RATP;"509299556467867648";https://twitter.com/Ligne12_RATP/status/509299556467867648
Ligne12_RATP;2014-09-09 11:58;0;1;"Inscrivez-vous dès à présent aux #JEP2014 http://www. ratp.fr/fr/ratp/r_9021 0/le-programme-ratp-pour-les-journees-europeennes-du-patrimoine/ … cc @JEPofficiel";;@JEPofficiel;#JEP2014;"509279635125698560";https://twitter.com/Ligne12_RATP/status/509279635125698560
Ligne12_RATP;2014-09-09 06:13;0;0;"Bonne matinée et bon trajet aux voyageurs de la #ligne12 , Denis vous informe sur l'état du trafic #RATP";;;#ligne12 #RATP;"509192894662868992";https://twitter.com/Ligne12_RATP/status/509192894662868992
