Date,T_high,T_avg,T_low,V_high,V_avg,V_low,W_high,W_avg,rain,fog,snow,Thunderstorms,R_F_S_T
2012/6/6,20,17,14,10,10,3,26,16,1,0,0,0,1
2012/6/7,23,19,15,10,10,1,39,13,1,1,0,0,1
2012/6/8,20,17,13,10,10,8,34,23,1,0,0,1,1
2012/6/9,19,14,10,10,10,10,21,13,1,0,0,0,1
2012/6/10,18,14,12,10,10,2,21,6,1,0,0,0,1
2012/6/11,19,16,13,10,10,5,24,11,1,0,0,0,1
2012/6/12,16,13,11,10,10,4,23,10,1,0,0,0,1
2012/6/13,17,13,11,10,10,2,19,11,1,0,0,1,1
2012/6/14,21,14,9,10,9,0,21,10,0,1,0,0,1
2012/6/15,22,18,15,10,10,5,34,13,1,0,0,0,1
2012/6/16,20,18,15,10,10,10,26,16,1,0,0,0,1
2012/6/17,22,17,12,10,10,10,24,16,0,0,0,0,0
2012/6/18,19,16,13,10,10,1,24,11,1,1,0,1,1
2012/6/19,19,14,11,10,10,10,16,8,1,0,0,0,1
2012/6/20,24,18,13,10,9,5,13,8,1,0,0,0,1
2012/6/21,25,20,16,10,10,1,34,13,1,1,0,1,1
2012/6/22,21,17,13,10,10,10,29,24,0,0,0,0,0
2012/6/23,21,16,12,10,10,10,19,11,0,0,0,0,0
2012/6/24,17,16,14,10,9,1,24,11,1,1,0,0,1
2012/6/25,21,16,12,10,10,2,13,8,0,0,0,0,0
2012/6/26,21,18,15,10,10,3,10,5,1,0,0,0,1
2012/6/27,26,20,15,10,10,10,21,5,0,0,0,0,0
2012/6/28,32,24,17,10,10,10,29,11,1,0,0,1,1
2012/6/29,24,20,16,10,10,10,23,14,1,0,0,1,1
2012/6/30,24,19,14,10,10,10,26,13,0,0,0,0,0
2012/7/1,21,18,15,10,10,10,24,11,0,0,0,0,0
2012/7/2,24,17,11,10,10,10,16,8,0,0,0,0,0
2012/7/3,24,20,16,10,10,10,14,8,0,0,0,0,0
2012/7/4,28,22,17,10,10,10,29,10,0,0,0,1,1
2012/7/5,23,20,17,10,10,2,10,5,1,0,0,1,1
2012/7/6,21,17,14,10,10,10,32,10,1,0,0,1,1
2012/7/7,22,18,14,10,10,2,27,11,1,0,0,1,1
2012/7/8,20,18,16,10,10,3,29,14,1,0,0,1,1
2012/7/9,22,18,15,10,10,10,14,6,0,0,0,0,0
2012/7/10,20,18,16,10,10,10,24,10,0,0,0,0,0
2012/7/11,19,16,13,10,10,4,35,14,1,0,0,0,1
2012/7/12,18,16,13,10,10,5,24,16,1,0,0,0,1
2012/7/13,19,17,14,10,9,1,24,13,1,1,0,0,1
2012/7/14,21,17,13,10,10,8,29,14,1,0,0,0,1
2012/7/15,19,16,12,10,10,10,24,13,0,0,0,0,0
2012/7/16,22,16,10,10,10,10,29,11,0,0,0,0,0
2012/7/17,25,21,17,10,10,10,23,18,0,0,0,0,0
2012/7/18,27,22,17,10,10,10,26,10,0,0,0,0,0
2012/7/19,22,19,16,10,10,10,27,18,0,0,0,0,0
2012/7/20,21,18,15,10,10,10,16,6,0,0,0,0,0
2012/7/21,21,16,10,10,10,10,21,6,0,0,0,0,0
2012/7/22,23,17,11,10,10,10,11,8,0,0,0,0,0
2012/7/23,26,19,12,10,10,10,21,8,0,0,0,0,0
2012/7/24,29,21,13,10,10,10,19,8,0,0,0,0,0
2012/7/25,31,23,16,10,10,10,13,6,0,0,0,0,0
2012/7/26,31,23,16,10,10,10,14,8,0,0,0,0,0
2012/7/27,30,24,19,10,10,10,26,6,1,0,0,0,1
2012/7/28,24,21,17,10,9,4,21,11,1,0,0,1,1
2012/7/29,22,17,12,10,10,1,27,11,1,1,0,0,1
2012/7/30,20,16,11,10,10,10,14,10,0,0,0,0,0
2012/7/31,26,19,12,10,10,10,19,8,0,0,0,0,0
2012/8/1,29,21,13,10,10,10,29,10,0,0,0,0,0
2012/8/2,25,21,17,10,10,10,23,14,0,0,0,0,0
2012/8/3,24,19,15,10,10,10,34,13,1,0,0,0,1
2012/8/4,26,20,14,10,10,5,21,8,1,0,0,0,1
2012/8/5,22,18,14,10,10,0,23,6,1,1,0,0,1
2012/8/6,22,18,15,10,10,10,26,16,1,0,0,0,1
2012/8/7,21,17,13,10,10,10,19,10,1,0,0,0,1
2012/8/8,26,19,12,10,10,10,13,5,0,0,0,0,0
2012/8/9,27,21,15,10,10,10,16,8,0,0,0,0,0
2012/8/10,25,19,13,10,10,10,19,10,0,0,0,0,0
2012/8/11,27,19,12,10,10,10,21,10,0,0,0,0,0
2012/8/12,27,20,13,10,10,10,23,8,0,0,0,0,0
2012/8/13,25,20,16,10,10,10,19,6,0,0,0,0,0
2012/8/14,25,20,15,10,10,10,14,6,1,0,0,0,1
2012/8/15,30,23,17,10,10,10,29,11,0,0,0,0,0
2012/8/16,27,21,15,10,10,10,19,10,0,0,0,0,0
2012/8/17,32,23,16,10,10,10,19,11,0,0,0,0,0
2012/8/18,38,27,17,10,10,10,21,10,0,0,0,0,0
2012/8/19,37,28,19,10,10,10,19,8,0,0,0,0,0
2012/8/20,28,22,17,10,10,10,14,8,1,0,0,1,1
2012/8/21,30,24,18,10,10,10,21,8,0,0,0,0,0
2012/8/22,24,19,15,10,10,10,16,10,0,0,0,0,0
2012/8/23,24,17,11,10,10,10,14,6,0,0,0,0,0
2012/8/24,24,19,15,10,10,10,24,8,1,0,0,0,1
2012/8/25,25,21,17,10,10,8,35,21,0,0,0,0,0
2012/8/26,24,20,16,10,10,10,32,21,0,0,0,0,0
2012/8/27,28,21,14,10,10,10,23,10,0,0,0,0,0
2012/8/28,27,22,17,10,10,10,21,10,0,0,0,0,0
2012/8/29,27,20,14,10,10,8,29,11,0,0,0,0,0
2012/8/30,22,18,15,10,10,10,26,11,1,0,0,0,1
2012/8/31,19,14,11,10,10,10,24,14,0,0,0,0,0
2012/9/1,21,13,6,10,10,10,14,6,0,0,0,0,0
2012/9/2,23,17,11,10,10,3,13,3,0,0,0,0,0
2012/9/3,22,18,15,10,10,5,16,6,0,0,0,0,0
2012/9/4,25,19,14,10,9,5,19,10,0,0,0,0,0
2012/9/5,22,18,15,10,9,5,19,11,0,0,0,0,0
2012/9/6,22,16,10,10,10,10,16,11,0,0,0,0,0
2012/9/7,26,16,7,10,10,10,10,5,0,0,0,0,0
2012/9/8,28,18,9,10,10,10,13,6,0,0,0,0,0
2012/9/9,31,21,11,10,10,10,21,6,0,0,0,0,0
2012/9/10,26,22,18,10,10,8,21,6,1,0,0,1,1
2012/9/11,20,17,14,10,10,7,19,8,1,0,0,0,1
2012/9/12,18,14,12,10,10,10,21,11,1,0,0,0,1
2012/9/13,20,16,12,10,10,8,23,13,1,0,0,0,1
2012/9/14,17,13,9,10,10,10,21,6,0,0,0,0,0
2012/9/15,22,17,12,10,10,10,11,6,0,0,0,0,0
2012/9/16,24,17,9,10,10,10,11,5,0,0,0,0,0
2012/9/17,22,16,11,10,10,0,11,5,0,1,0,0,1
2012/9/18,19,14,11,10,10,10,19,8,0,0,0,0,0
2012/9/19,18,12,7,10,10,10,19,8,0,0,0,0,0
2012/9/20,18,11,5,10,10,10,11,5,0,0,0,0,0
2012/9/21,18,12,7,10,10,10,11,5,1,0,0,0,1
2012/9/22,18,12,6,10,9,0,14,6,0,1,0,0,1
2012/9/23,23,17,12,10,10,10,24,13,1,0,0,0,1
2012/9/24,20,17,14,10,10,4,47,23,1,0,0,1,1
2012/9/25,16,13,12,10,10,5,32,24,1,0,0,0,1
2012/9/26,17,14,12,10,10,3,32,21,1,0,0,0,1
2012/9/27,17,13,11,10,10,7,24,16,1,0,0,0,1
2012/9/28,18,13,8,10,9,5,19,3,0,1,0,0,1
2012/9/29,18,13,8,10,10,10,13,5,0,0,0,0,0
2012/9/30,18,11,4,10,10,10,8,3,0,0,0,0,0
2012/10/1,20,12,5,10,10,10,19,8,0,0,0,0,0
2012/10/2,19,17,14,10,10,10,24,14,1,0,0,0,1
2012/10/3,17,16,14,10,10,10,27,21,1,0,0,0,1
2012/10/4,17,14,13,10,10,8,29,19,1,0,0,0,1
2012/10/5,22,18,14,10,10,10,27,19,0,0,0,0,0
2012/10/6,19,16,13,10,9,5,21,13,1,0,0,0,1
2012/10/7,16,13,10,10,10,7,19,11,0,0,0,0,0
2012/10/8,17,12,8,10,8,2,11,8,1,0,0,0,1
2012/10/9,17,14,13,10,9,3,13,10,1,0,0,0,1
2012/10/10,15,13,11,10,8,2,14,10,1,0,0,0,1
2012/10/11,18,16,13,10,8,5,16,8,1,0,0,0,1
2012/10/12,17,13,9,10,10,8,27,14,1,0,0,0,1
2012/10/13,12,10,8,10,10,5,24,14,1,0,0,0,1
2012/10/14,9,7,5,10,8,0,14,6,1,1,0,0,1
2012/10/15,14,9,4,10,10,10,23,11,0,0,0,0,0
2012/10/16,15,12,9,10,10,6,26,18,1,0,0,0,1
2012/10/17,16,12,9,10,10,9,24,14,1,0,0,0,1
2012/10/18,21,17,13,10,10,7,21,10,1,0,0,0,1
2012/10/19,18,16,14,10,10,10,14,6,1,0,0,0,1
2012/10/20,17,16,14,10,9,5,13,8,1,0,0,0,1
2012/10/21,23,18,13,10,8,2,14,10,1,0,0,0,1
2012/10/22,25,19,13,10,10,5,10,5,0,0,0,0,0
2012/10/23,20,16,12,10,5,0,13,5,0,1,0,0,1
2012/10/24,11,9,7,10,7,2,16,8,0,0,0,0,0
2012/10/25,17,12,7,10,7,2,16,8,0,0,0,0,0
2012/10/26,12,9,5,10,9,5,27,18,0,0,0,0,0
2012/10/27,9,4,1,10,10,10,34,18,1,0,0,0,1
2012/10/28,10,5,0,10,10,10,16,8,1,0,0,0,1
2012/10/29,11,8,6,10,10,6,19,11,1,0,0,0,1
2012/10/30,11,8,5,10,10,10,16,10,1,0,0,0,1
2012/10/31,13,7,2,10,10,10,24,10,0,0,0,0,0
2012/11/1,12,9,7,10,10,10,35,19,1,0,0,1,1
2012/11/2,10,8,6,10,10,3,24,18,1,0,0,0,1
2012/11/3,12,8,5,10,10,2,23,13,1,0,0,0,1
2012/11/4,12,8,5,10,9,1,32,13,1,1,0,0,1
2012/11/5,11,8,6,10,10,9,21,11,1,0,0,0,1
2012/11/6,11,6,2,10,9,0,13,6,0,1,0,0,1
2012/11/7,12,10,8,10,10,10,19,13,0,0,0,0,0
2012/11/8,10,8,7,10,10,8,11,5,0,0,0,0,0
2012/11/9,10,6,2,10,8,1,13,6,1,1,0,0,1
2012/11/10,14,10,7,10,9,2,27,13,1,0,0,0,1
2012/11/11,10,8,5,10,9,6,13,5,0,0,0,0,0
2012/11/12,8,6,4,10,9,6,14,10,0,0,0,0,0
2012/11/13,8,7,6,10,7,0,14,10,1,1,0,0,1
2012/11/14,5,3,2,8,5,1,13,8,0,0,0,0,0
2012/11/15,7,6,4,8,6,5,10,5,0,0,0,0,0
2012/11/16,6,4,3,9,5,0,14,8,0,1,0,0,1
2012/11/17,10,7,4,9,3,0,14,10,0,1,0,0,1
2012/11/18,10,9,8,10,7,2,14,6,1,0,0,0,1
2012/11/19,13,10,7,10,9,6,14,8,0,0,0,0,0
2012/11/20,12,9,7,10,9,5,19,11,0,0,0,0,0
2012/11/21,12,9,6,10,10,8,26,16,1,0,0,0,1
2012/11/22,9,6,3,10,8,0,24,10,0,1,0,0,1
2012/11/23,10,8,6,10,10,7,19,13,1,0,0,0,1
2012/11/24,15,10,7,10,10,9,32,8,0,0,0,0,0
2012/11/25,15,10,6,10,10,10,48,31,1,0,0,0,1
2012/11/26,13,9,6,10,10,10,35,16,0,0,0,0,0
2012/11/27,9,7,6,10,10,6,24,14,1,0,0,0,1
2012/11/28,8,7,5,10,9,6,21,10,1,0,0,0,1
2012/11/29,7,4,2,10,10,10,24,18,1,0,0,0,1
2012/11/30,5,2,-1,10,7,0,6,3,0,1,0,0,1
2012/12/1,6,3,0,10,6,0,13,5,1,1,0,0,1
2012/12/2,6,2,-1,10,9,5,14,8,0,0,0,0,0
2012/12/3,12,6,-1,10,9,6,29,10,1,0,0,0,1
2012/12/4,8,6,3,10,10,2,27,14,1,0,0,0,1
2012/12/5,5,3,1,10,10,8,19,10,1,0,0,0,1
2012/12/6,4,1,-1,10,10,9,21,10,0,0,0,0,0
2012/12/7,6,3,0,10,9,2,29,19,1,1,1,0,1
2012/12/8,4,1,-2,10,9,1,14,6,1,1,0,0,1
2012/12/9,7,2,-3,10,8,1,23,8,1,1,0,0,1
2012/12/10,7,4,2,10,10,10,19,11,1,0,0,0,1
2012/12/11,4,1,-2,10,10,7,14,8,0,0,0,0,0
2012/12/12,2,-2,-5,10,8,4,19,6,0,0,0,0,0
2012/12/13,5,0,-5,10,9,5,13,8,1,0,0,0,1
2012/12/14,12,8,5,10,9,4,37,19,1,0,0,0,1
2012/12/15,12,10,8,10,10,5,29,23,1,0,0,0,1
2012/12/16,11,9,8,10,10,9,29,23,1,0,0,0,1
2012/12/17,10,8,5,10,10,10,27,16,0,0,0,0,0
2012/12/18,9,7,6,10,10,2,16,10,1,0,0,0,1
2012/12/19,8,6,3,10,9,2,21,6,1,0,0,0,1
2012/12/20,10,8,6,10,8,2,19,13,1,0,0,0,1
2012/12/21,10,8,6,10,10,10,23,13,0,0,0,0,0
2012/12/22,15,10,5,10,9,3,34,13,1,0,0,0,1
2012/12/23,15,14,13,10,10,10,34,26,0,0,0,0,0
2012/12/24,13,10,8,10,10,10,26,19,0,0,0,0,0
2012/12/25,13,11,9,10,10,2,40,21,1,0,0,0,1
2012/12/26,11,9,8,10,10,10,37,23,1,0,0,0,1
2012/12/27,11,9,8,10,10,7,40,23,1,0,0,0,1
2012/12/28,12,9,7,10,10,10,21,14,1,0,0,0,1
2012/12/29,13,10,8,10,10,9,37,21,1,0,0,0,1
2012/12/30,10,8,7,10,10,10,32,24,0,0,0,0,0
2012/12/31,12,10,8,10,10,10,35,23,1,0,0,0,1
2013/1/1,9,6,3,10,10,6,23,16,1,0,0,0,1
2013/1/2,8,6,3,10,10,7,16,8,1,0,0,0,1
2013/1/3,11,9,7,10,7,2,13,10,1,0,0,0,1
2013/1/4,10,9,9,10,9,6,11,8,0,0,0,0,0
2013/1/5,9,8,8,10,9,5,11,6,0,0,0,0,0
2013/1/6,8,7,7,10,9,5,10,5,0,0,0,0,0
2013/1/7,8,7,6,10,10,7,13,8,0,0,0,0,0
2013/1/8,6,4,4,10,10,8,13,6,0,0,0,0,0
2013/1/9,6,4,4,10,8,2,14,8,1,0,0,0,1
2013/1/10,8,7,6,10,7,1,11,5,1,0,0,0,1
2013/1/11,7,4,3,10,9,2,23,8,1,1,0,0,1
2013/1/12,6,3,2,10,8,0,13,6,1,1,0,0,1
2013/1/13,5,2,0,10,8,5,21,10,1,0,0,0,1
2013/1/14,1,-1,-3,10,8,2,24,13,0,1,1,0,1
2013/1/15,2,1,0,10,9,3,24,11,1,0,1,0,1
2013/1/16,1,-2,-5,10,8,5,13,6,0,0,0,0,0
2013/1/17,-1,-4,-8,10,6,0,13,6,0,1,0,0,1
2013/1/18,-1,-4,-7,10,6,0,27,11,0,1,1,0,1
2013/1/19,-1,-2,-2,9,6,2,21,11,1,0,1,0,1
2013/1/20,1,-1,-3,9,3,1,16,13,1,1,1,0,1
2013/1/21,2,1,1,10,6,2,13,10,1,0,1,0,1
2013/1/22,2,1,0,10,8,3,21,10,1,0,0,0,1
2013/1/23,3,2,1,10,6,1,11,6,0,0,0,0,0
2013/1/24,2,-1,-3,5,2,1,16,8,0,1,0,0,1
2013/1/25,-2,-3,-4,10,7,5,23,8,0,0,0,0,0
2013/1/26,4,1,-2,10,7,2,21,13,0,1,0,0,1
2013/1/27,10,6,1,10,10,7,27,16,1,0,0,0,1
2013/1/28,10,6,1,10,10,10,32,11,1,0,0,0,1
2013/1/29,12,11,10,10,10,7,32,26,1,0,0,0,1
2013/1/30,14,11,8,10,10,5,34,26,1,0,0,0,1
2013/1/31,11,8,6,10,10,10,37,18,1,0,0,0,1
2013/2/1,10,8,6,10,10,6,26,14,1,0,0,0,1
2013/2/2,6,3,2,10,10,2,35,13,1,0,0,0,1
2013/2/3,6,2,-1,10,10,6,27,11,1,0,0,0,1
2013/2/4,11,8,6,10,10,7,26,18,1,0,0,0,1
2013/2/5,8,4,2,10,10,10,35,23,1,0,0,0,1
2013/2/6,7,4,3,10,10,6,34,23,1,0,0,0,1
2013/2/7,6,3,1,10,10,10,24,14,1,0,0,0,1
2013/2/8,6,2,-1,10,9,1,21,5,1,1,1,0,1
2013/2/9,2,0,-2,10,7,0,13,5,1,1,1,0,1
2013/2/10,3,0,-2,10,9,2,29,16,1,0,1,0,1
2013/2/11,9,6,3,10,9,5,16,11,1,0,0,0,1
2013/2/12,3,1,0,10,8,1,14,10,1,0,0,0,1
2013/2/13,2,0,-1,10,9,6,23,11,0,0,0,0,0
2013/2/14,5,2,-1,10,7,0,21,14,1,1,0,0,1
2013/2/15,11,7,3,10,9,1,16,8,0,0,0,0,0
2013/2/16,9,4,-1,10,9,0,13,3,0,1,0,0,1
2013/2/17,6,2,-1,10,7,0,23,8,0,1,0,0,1
2013/2/18,7,2,-2,10,9,5,19,8,0,0,0,0,0
